t_device,t_host,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,dropped_before,buttons,seq
244.315000,398.593661,-0.18309,0.42721,-0.79339,-0.03831,0.22302,0.96844,15,0,49179
244.320000,398.593661,0.73236,0.67133,-0.42721,-0.03587,0.22228,0.97283,0,0,49180
244.325000,398.593661,1.52575,0.67133,-0.12206,-0.03562,0.22082,0.97795,0,0,49181
244.330000,398.593964,2.31914,0.24412,0.06103,-0.03562,0.21838,0.98381,0,0,49182
244.335000,398.593964,2.92944,-0.48824,0.42721,-0.03611,0.21570,0.98918,0,0,49183
244.340000,398.593964,3.17356,-0.97648,0.79339,-0.03562,0.21204,0.99235,0,0,49184
244.345000,398.594121,2.80738,-1.09854,1.09854,-0.03440,0.20886,0.99357,0,0,49185
244.350000,398.594121,2.07502,-0.97648,1.28163,-0.03489,0.20716,0.99674,0,0,49186
244.355000,398.594121,1.15957,-0.97648,1.09854,-0.03782,0.20545,0.99918,0,0,49187
244.360000,398.594255,0.30515,-1.09854,0.67133,-0.03831,0.20545,0.99381,0,0,49188
244.365000,398.594255,-0.54927,-1.28163,0.06103,-0.03855,0.20911,0.98527,0,0,49189
244.370000,398.594255,-1.70884,-1.03751,-0.54927,-0.03904,0.21326,0.97698,0,0,49190
244.375000,398.594382,-2.01399,-0.36618,-0.73236,-0.03782,0.21618,0.97161,0,0,49191
244.380000,398.594382,-1.89193,0.54927,-0.79339,-0.03416,0.21838,0.96844,0,0,49192
244.385000,398.594382,-1.58678,1.34266,-0.73236,-0.03196,0.21960,0.97185,0,0,49193
244.390000,398.594505,-1.22060,1.64781,-0.73236,-0.03318,0.22350,0.97673,0,0,49194
244.395000,398.594505,-0.73236,1.58678,-0.48824,-0.03465,0.22863,0.98112,0,0,49195
244.400000,398.594505,-0.48824,1.70884,-0.36618,-0.03148,0.23034,0.98893,0,0,49196
244.405000,398.594630,-0.54927,2.25811,-0.06103,-0.02830,0.23009,0.99650,0,0,49197
244.410000,398.594630,-0.97648,2.50223,0.36618,-0.02904,0.22936,1.00138,0,0,49198
244.415000,398.594630,-1.40369,2.31914,0.61030,-0.03270,0.22985,1.00455,0,0,49199
244.420000,398.594752,-1.95296,1.70884,0.73236,-0.03684,0.23107,1.00577,0,0,49200
244.425000,398.594752,-2.07502,1.09854,0.48824,-0.03831,0.22814,1.00528,0,0,49201
244.430000,398.594752,-2.31914,0.79339,0.12206,-0.03392,0.22546,0.99942,0,0,49202
244.435000,398.594875,-2.19708,0.61030,-0.24412,-0.03001,0.22228,0.99186,0,0,49203
244.440000,398.594875,-1.76987,0.48824,-0.24412,-0.02879,0.22106,0.98918,0,0,49204
244.445000,398.594875,-1.03751,0.42721,0.06103,-0.02879,0.22204,0.99064,0,0,49205
244.450000,398.595001,0.12206,0.00000,0.61030,-0.03172,0.22375,0.99088,0,0,49206
244.455000,398.595001,1.52575,-0.67133,1.22060,-0.03123,0.22472,0.98600,0,0,49207
