t_device,t_host,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,dropped_before,buttons,seq
183.750000,313.052590,2.92944,-0.79339,-1.58678,0.01415,0.12444,0.99967,0,0,36986
183.755000,313.052590,2.92944,-1.34266,-1.76987,0.01391,0.12420,1.00406,0,0,36987
183.760000,313.052590,3.05150,-1.89193,-1.83090,0.01196,0.12615,1.00455,0,0,36988
183.765000,313.053013,3.47871,-2.44120,-1.83090,0.00708,0.13005,1.00406,0,0,36989
183.770000,313.053013,3.96695,-2.86841,-1.76987,0.00805,0.12786,1.00138,0,0,36990
183.775000,313.053013,4.08901,-3.11253,-1.52575,0.01342,0.12761,0.99674,0,0,36991
183.780000,313.053155,3.60077,-3.05150,-1.03751,0.01440,0.13054,0.99528,0,0,36992
183.785000,313.053155,2.86841,-2.50223,-0.48824,0.01513,0.13200,0.99430,0,0,36993
183.790000,313.053155,1.89193,-1.83090,-0.06103,0.01903,0.13347,0.99064,0,0,36994
183.795000,313.053365,0.91545,-1.58678,-0.06103,0.01903,0.13396,0.98796,0,0,36995
183.800000,313.053365,0.18309,-1.15957,-0.18309,0.01586,0.13249,0.98674,0,0,36996
183.805000,313.053365,-0.30515,-0.54927,-0.36618,0.01391,0.13054,0.98674,0,0,36997
183.810000,313.053527,-0.42721,0.06103,-1.03751,0.01318,0.12883,0.98747,0,0,36998
183.815000,313.053527,-0.18309,0.48824,-1.34266,0.01440,0.13298,0.99235,0,0,36999
183.820000,313.053527,0.54927,0.54927,-1.64781,0.01659,0.14030,0.99869,0,0,37000
183.825000,313.053650,1.40369,0.42721,-1.70884,0.01830,0.14542,1.00308,0,0,37001
183.830000,313.053650,1.76987,0.42721,-1.46472,0.01732,0.15030,1.00406,0,0,37002
183.835000,313.053650,1.03751,0.97648,-1.03751,0.01147,0.15396,1.00430,0,0,37003
183.840000,313.053773,-0.06103,1.40369,-0.91545,0.00537,0.15958,1.00552,0,0,37004
183.845000,313.053773,-1.34266,1.95296,-0.91545,0.00390,0.16324,1.00601,0,0,37005
183.850000,313.053773,-2.56326,2.25811,-0.91545,0.00634,0.16275,1.00894,0,0,37006
183.855000,313.053894,-3.84489,2.19708,-0.61030,0.00854,0.16324,1.01016,0,0,37007
183.860000,313.053894,-4.76034,1.95296,-0.06103,0.00854,0.16275,1.01138,0,0,37008
183.865000,313.053894,-4.69931,1.52575,0.42721,0.01098,0.16006,1.00943,0,0,37009
183.870000,313.054014,-4.08901,1.22060,0.79339,0.01440,0.15543,1.00772,0,0,37010
183.875000,313.054014,-3.17356,0.85442,1.09854,0.01440,0.14957,1.00674,0,0,37011
183.880000,313.054014,-2.01399,0.12206,1.28163,0.01391,0.14518,1.00528,0,0,37012
183.885000,313.054138,-0.61030,-0.67133,1.46472,0.01513,0.14128,1.00089,0,0,37013
