t_device,t_host,gyro_x,gyro_y,gyro_z,accel_x,accel_y,accel_z,dropped_before,buttons,seq
3.970000,19.047971,0.24412,0.06103,0.06103,0.10663,-0.00244,1.00748,0,0,793
3.975000,19.047971,0.24412,0.06103,-0.06103,0.10687,-0.00049,1.00626,0,0,794
3.980000,19.047971,0.00000,0.00000,-0.06103,0.10736,0.00049,1.00504,0,0,795
3.985000,19.048261,-0.24412,0.06103,0.06103,0.10760,0.00024,1.00479,0,0,796
3.990000,19.048261,-0.36618,0.06103,0.06103,0.10736,-0.00220,1.00626,0,0,797
3.995000,19.048261,-0.24412,0.06103,0.00000,0.10736,-0.00366,1.00699,0,0,798
4.000000,19.048413,-0.06103,0.06103,0.00000,0.10687,-0.00439,1.00699,0,0,799
4.005000,19.048413,0.18309,0.12206,0.06103,0.10614,-0.00317,1.00723,0,0,800
4.010000,19.048413,0.18309,0.12206,0.00000,0.10614,-0.00122,1.00674,0,0,801
4.015000,19.048574,0.06103,0.00000,-0.06103,0.10614,0.00024,1.00528,0,0,802
4.020000,19.048574,0.00000,-0.06103,0.00000,0.10663,0.00000,1.00504,0,0,803
4.025000,19.048574,-0.18309,0.06103,0.00000,0.10663,-0.00171,1.00699,0,0,804
4.030000,19.049090,-0.12206,-0.12206,-0.06103,0.10590,-0.00244,1.00821,0,0,805
4.035000,19.049090,-0.12206,-0.06103,-0.06103,0.10565,-0.00293,1.00796,0,0,806
4.040000,19.049090,0.06103,0.00000,0.00000,0.10516,-0.00244,1.00796,0,0,807
4.045000,19.049225,0.24412,0.12206,0.06103,0.10541,-0.00146,1.00723,0,0,808
4.050000,19.049225,0.18309,0.06103,0.00000,0.10712,-0.00098,1.00626,0,0,809
4.055000,19.049225,0.06103,0.00000,-0.06103,0.10736,-0.00098,1.00601,0,0,810
4.060000,19.049354,-0.18309,0.06103,0.00000,0.10590,-0.00122,1.00699,0,0,811
4.065000,19.049354,-0.18309,0.12206,0.06103,0.10516,-0.00122,1.00723,0,0,812
4.070000,19.049354,-0.12206,0.00000,0.00000,0.10590,-0.00195,1.00821,0,0,813
4.075000,19.049537,-0.06103,0.06103,0.06103,0.10516,-0.00171,1.00821,0,0,814
4.080000,19.049537,0.12206,0.00000,0.00000,0.10565,-0.00171,1.00723,0,0,815
4.085000,19.049537,0.12206,0.06103,-0.06103,0.10663,-0.00146,1.00626,0,0,816
4.090000,19.049664,0.00000,0.00000,-0.06103,0.10785,-0.00024,1.00528,0,0,817
4.095000,19.049664,-0.06103,-0.06103,-0.06103,0.10785,-0.00098,1.00528,0,0,818
4.100000,19.049664,-0.06103,-0.06103,0.00000,0.10687,-0.00244,1.00674,0,0,819
4.105000,19.049793,0.00000,0.06103,0.06103,0.10614,-0.00293,1.00772,0,0,820
4.110000,19.049793,0.06103,0.12206,0.00000,0.10614,-0.00317,1.00772,0,0,821
4.115000,19.049793,0.00000,0.06103,-0.06103,0.10687,-0.00244,1.00821,0,0,822
4.120000,19.049919,0.06103,0.00000,0.00000,0.10712,-0.00098,1.00674,0,0,823
4.125000,19.049919,0.06103,-0.12206,0.00000,0.10809,0.00024,1.00674,0,0,824
4.130000,19.049919,-0.12206,0.06103,0.24412,0.10834,-0.00049,1.00674,0,0,825
4.135000,19.050046,-0.24412,0.06103,0.00000,0.10785,-0.00171,1.00674,0,0,826
4.140000,19.050046,-0.12206,0.06103,0.00000,0.10760,-0.00317,1.00650,0,0,827
4.145000,19.050046,-0.18309,0.18309,0.00000,0.10687,-0.00342,1.00699,0,0,828
4.150000,19.050171,0.06103,0.06103,-0.06103,0.10638,-0.00293,1.00723,0,0,829
4.155000,19.050171,0.12206,0.06103,0.00000,0.10590,-0.00195,1.00674,0,0,830
4.160000,19.050171,0.12206,0.00000,-0.06103,0.10687,-0.00171,1.00650,0,0,831
4.165000,19.050297,0.06103,0.06103,0.00000,0.10663,-0.00146,1.00699,0,0,832
4.170000,19.050297,0.00000,0.00000,0.06103,0.10614,-0.00098,1.00772,0,0,833
4.175000,19.050297,0.00000,0.00000,0.06103,0.10565,-0.00195,1.00772,0,0,834
4.180000,19.050423,0.00000,0.06103,0.00000,0.10614,-0.00293,1.00723,0,0,835
4.185000,19.050423,0.12206,0.06103,0.00000,0.10590,-0.00244,1.00772,0,0,836
4.190000,19.050423,0.12206,0.06103,0.00000,0.10638,-0.00195,1.00723,0,0,837
4.195000,19.050548,0.00000,0.00000,0.00000,0.10638,-0.00268,1.00723,0,0,838
4.200000,19.050548,-0.12206,0.06103,-0.06103,0.10663,-0.00244,1.00699,0,0,839
4.205000,19.050548,-0.06103,0.06103,-0.06103,0.10687,-0.00268,1.00723,0,0,840
4.210000,19.050672,-0.06103,-0.06103,0.00000,0.10614,-0.00293,1.00748,0,0,841
4.215000,19.050672,0.00000,-0.06103,0.00000,0.10590,-0.00195,1.00821,0,0,842
4.220000,19.050672,0.00000,0.00000,-0.06103,0.10516,-0.00122,1.00821,0,0,843
4.225000,19.050798,0.06103,0.00000,0.00000,0.10663,-0.00098,1.00748,0,0,844
4.230000,19.050798,0.00000,-0.06103,0.00000,0.10785,-0.00024,1.00674,0,0,845
4.235000,19.050798,-0.06103,0.00000,0.06103,0.10809,-0.00098,1.00650,0,0,846
4.240000,19.050924,-0.06103,0.06103,0.06103,0.10712,-0.00122,1.00723,0,0,847
4.245000,19.050924,-0.12206,0.12206,-0.06103,0.10614,-0.00293,1.00748,0,0,848
4.250000,19.050924,-0.06103,0.06103,0.00000,0.10614,-0.00366,1.00748,0,0,849
4.255000,19.051049,0.06103,0.00000,-0.06103,0.10565,-0.00293,1.00748,0,0,850
4.260000,19.051049,0.12206,0.06103,0.00000,0.10590,-0.00171,1.00748,0,0,851
4.265000,19.051049,0.12206,-0.06103,0.00000,0.10687,-0.00098,1.00650,0,0,852
4.270000,19.051173,0.06103,0.00000,0.00000,0.10712,-0.00146,1.00723,0,0,853
4.275000,19.051173,-0.06103,0.06103,-0.12206,0.10638,-0.00220,1.00796,0,0,854
4.280000,19.051173,-0.12206,0.00000,-0.06103,0.10590,-0.00268,1.00748,0,0,855
4.285000,19.051315,-0.06103,0.00000,0.00000,0.10638,-0.00342,1.00723,0,0,856
4.290000,19.051315,-0.06103,0.06103,-0.06103,0.10736,-0.00366,1.00650,0,0,857
4.295000,19.051315,0.00000,0.12206,-0.06103,0.10712,-0.00268,1.00650,0,0,858
4.300000,19.051471,0.06103,0.12206,-0.06103,0.10663,-0.00244,1.00699,0,0,859
4.305000,19.051471,0.00000,0.06103,0.00000,0.10590,-0.00195,1.00821,0,0,860
4.310000,19.051471,-0.12206,0.06103,0.00000,0.10541,-0.00146,1.00845,0,0,861
4.315000,19.051622,-0.06103,0.06103,0.06103,0.10614,-0.00122,1.00748,0,0,862
